timestamp,asset_id,registration_price,registration_period
1787216400,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",5000000,31557600
1787302800,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",3750000,31557600
1787389200,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",2500000,31557600
1787475600,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",1250000,31557600
1787562000,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",500000,31557600
1787648400,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",375000,31557600
1787734800,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",250000,31557600
1787821200,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",165000,31557600
1787907600,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",125000,31557600
1787994000,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",75000,31557600
1788080400,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",50000,31557600
1788166800,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",25000,31557600
1788253200,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",15000,31557600
1788339600,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",10000,31557600
1788426000,"fa4a180ac326e67ea289b869e3448256f6af05721f7cf934cb9901baa6b7a99d",5000,31557600
